Name,Latitude,Longitude,Rating,Number of Reviews,Affluence
Hotel Bon Vivant,23.8069044,90.4164599,4,291,
Pan Tao Thai Cuisine,23.7920687,90.4080063,4,642,
Haji Biriyani,23.7206686,90.4057793,4,3983,$$
amontron,23.8074103,90.3684121,5,3,
Chilis,23.7520523,90.3774185,4.1,1699,$$
Bay Leaf Restaurant,23.8098891,90.3675571,3.7,950,$$
Palm View Hotel and Restaurant,23.8189386,90.4141559,4.2,1819,
Bagicha Thai and Chinese Restaurant,23.7333621,90.4065355,4,818,$$
VIP's Restaurant & Party Center,23.8024213,90.3532878,3.7,426,$$
California Fried Chicken,23.7378807,90.3962561,3.8,398,
Marwa Kabab & Restaurant,23.8332055,90.4182382,3.9,1621,$$
California Fried Chicken and Pastry Shop(CFC),23.7563375,90.374756,4.1,605,$$
BFC (Best Fried Chicken),23.7419395,90.4115676,4.1,1858,$$
Bijoy Shoroni Restaurant,23.7631015,90.389262,3.8,733,$$
China Kitchen,23.740054,90.3912646,3.9,880,$$
Zafran Biryani & Kabab house,23.7835887,90.3766043,3.7,147,$
Campus Shadow of University of Dhaka,23.7344233,90.3919786,4.4,1045,$
BG Sauslys Private Limited,23.7907174,90.4043913,3.7,72,
Red Tomato Restaurant,23.7530095,90.3692762,3.8,716,$$
Pappa Roti,23.7937192,90.4051829,4.3,36,
California Fried Chicken & Pastry Shop,23.7985447,90.4122565,4,458,$$
Sayami,23.7815944,90.415796,3,10,
Goonjon Bangla Cafe,23.8204655,90.3652281,3.8,113,$$
Dosa Express,23.7420977,90.4099669,4.1,1518,$$
CP Fried Chicken,23.704193,90.4239785,3.9,143,
Shad Tehari Ghar,23.7552688,90.3721313,4,1517,$$
Margarita Resturant and Cafe,23.8066349,90.4162212,3.3,4,
Food Land Cafe,23.7202302,90.4179879,4,1066,$$
FFC Dhanmondi,23.7442963,90.3823757,3.6,463,
Sky View Restaurant,23.7680464,90.4035541,3.9,462,$$
Bright Star Hotel,23.7594912,90.3941527,3.8,96,$
Taj Mahal Tandoori & Kabab,23.793446,90.4066443,4,276,
Hotel De Meridian,23.8722986,90.4010006,3.9,672,
Salimar Garden Restora,23.7927728,90.4056059,3.9,620,$$
"Argeela, Dhaka.",23.7910557,90.4060774,3.8,231,
Take A Bite,23.7616489,90.4363377,3.6,885,$
BG Sauslys Private Limited,23.7922167,90.4151709,4.3,170,
Royal Restaurant,23.7195757,90.3905434,4,4081,$$
Piccadilly Restaurant,23.7604165,90.3837721,3.6,826,$$
Cafe Appeliano,23.7520087,90.4214364,4.1,2635,$$
